번호,종목코드,기업명,업종코드,업종,상장주식수(주),자본금(원),액면가(원),통화구분,대표전화,주소,총카운트
1,95570,AJ네트웍스,147603,산업용 기계 및 장비 임대업,"46,822,295","46,822,295,000","1,000",원(KRW),02-6363-9999,"서울특별시 송파구 정의로8길 9 (문정동,AJ빌딩)",779
2,68400,AJ렌터카,147601,운송장비 임대업,"22,146,300","11,073,150,000",500,원(KRW),1544-1600,서울특별시 구로구  서부샛길 822,779
3,6840,AK홀딩스,116409,기타 금융업,"13,247,561","66,237,805,000","5,000",원(KRW),02-6923-2921,서울특별시 구로구 구로중앙로 152(구로동),779
4,27410,BGF,74701,종합 소매업,"95,369,179","95,369,179,000","1,000",,1577-3663,서울특별시 강남구 테헤란로 405,779
5,282330,BGF리테일,74701,종합 소매업,"17,283,906","17,283,906,000","1,000",원(KRW),1577-3663,서울특별시 강남구 테헤란로 405 BGF사옥,779
6,138930,BNK금융지주,116409,기타 금융업,"325,935,246","1,629,676,230,000","5,000",원(KRW),051-620-3022,부산광역시 남구 문현금융로 30(문현동),779
7,1460,BYC,31401,봉제의복 제조업,"624,615","4,200,000,000","5,000",원(KRW),02-840-3175,서울특별시 영등포구 도림천로21길 3,779
8,1040,CJ,116409,기타 금융업,"29,176,998","157,914,810,000","5,000",원(KRW),02-726-8114,"서울특별시 중구 동호로 330 쌍림동, 씨제이제일제당센터",779
9,79160,CJ CGV,105901,"영화, 비디오물, 방송프로그램 제작 및 배급업","21,161,313","10,580,656,500",500,원(KRW),02-371-6660,서울특별시 용산구 한강대로23길 55 아이파크몰 6층(한강로동),779
10,120,CJ대한통운,84903,도로 화물 운송업,"22,812,344","114,061,720,000","5,000",원(KRW),02-3782-0114,서울특별시 중구  세종대로9길 53,779
11,11150,CJ씨푸드,31007,기타 식품 제조업,"35,930,773","18,065,386,500",500,원(KRW),031-730-9114,경기도 성남시 중원구  둔촌대로388번길 32 (상대원동),779
12,97950,CJ제일제당,31007,기타 식품 제조업,"15,053,186","81,903,095,000","5,000",원(KRW),726-8114,서울특별시 중구  동호로 330,779
13,37560,CJ헬로,106002,텔레비전 방송업,"77,446,865","193,617,162,500","2,500",원(KRW),02-1855-1000,"서울특별시 마포구 월드컵북로56길 19 6층(상암동, 드림타워)",779
14,590,CS홀딩스,116409,기타 금융업,"1,154,482","5,772,410,000","5,000",원(KRW),02-3459-9363,경상북도 포항시 남구 괴동로 43 (장흥동),779
15,12030,DB,106201,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","201,173,933","100,586,966,500",500,원(KRW),02-2136-6000,서울특별시 강남구 삼성로96길 23 7층,779
